Site #,Site Id,Ward,Date,Start,Finish,Team,Fixed,Width 1,Width 2,Width 3,Street,St. Type,Lanes,Divided,Area,Grass Ht.(Inches),FastFood,ConvStore,MobileFood,"Bench or
Resting
Structure",Bus Stop,"Traffic
Light/
Stop sign",Litter Bin,"Large
Litter
Count","Small
Litter
Count",Catch Pt,LitterIndex,Cleanup,Details,Street,Coordinates,"Updated
Coordinates from
Previous Survey",Comments,2012_large,2012_small,2012_total
79,84,33,22-Sep-16,1:20 PM,1:33 PM,B,Var,17,17,16.5,George Henry Blvd.,Minor,2,N,Res,3 to 6,N,N,N,N,N,Y,N,3,3,"Curb- Grass
Line",1,N,,Blvd,"N:43.773289
W:79.348297",,"Start at 99, head towards Don
Mills Rd",3,1,4
80,85,34,21-Sep-16,9:03 AM,9:17 AM,B,Var,16,18,18,Roywood Dr.,Minor,2,N,Res,over 6,N,N,N,N,N,Y,N,25,8,"Fence-Hedge-
Curb-Grass
Line",3,N,,Drive,"N:43.764512
W:79.323616",,,3,3,6
81,86,34,21-Sep-16,2:06 PM,2:21 PM,B,Fixed,18,18,18,Don Mills Rd.,Major,6,Y,Res,3 to 6,N,N,N,y,Y,Y,Y,49,14,"Curb-Grass
Line",3,N,,Road,"N: 43.76163
W:79.34708",*,"4 litter bins within sight of the
intersection of Don Mills &
Graydon Hall",0,1,1
82,87,34,21-Sep-16,9:30 AM,9:42 AM,B,Var,17,17,17,Aldenham Cres.,Minor,2,N,Res,3 to 6,N,N,N,N,N,N,N,7,3,"Curb-Grass
Line",2,N,,Crescent,"N: 43.75004
W:79.32938",*,"Catwalk to parkland within
survey area (part of school
route)",0,4,4
83,88,25,19-Sep-16,9:04 AM,9:12 AM,B,Var,3,3,3,Tottenham Rd.,Minor,2,N,Res,N/A,N,N,N,N,N,N,N,0,0,"Curb-Grass
Line",1,N,,Road,"N: 43.73092
W:79.35318",*,,0,1,1
84,89,25,21-Sep-16,12:25 PM,12:32 PM,B,Var,17,17,17,Riderwood Dr.,Minor,2,N,Res,3 to 6,N,N,N,N,Y,N,N,7,2,"Curb-Grass
Line",2,N,,Drive,"N:43.75534
W:79.36512",*,"Start south side heading west
just past Orchid",3,0,3
85,90,25,21-Sep-16,12:00 PM,12:05 PM,B,Var,16,16,16,Ealing Dr.,Minor,2,N,Res,<3,N,N,N,N,N,Y,N,0,4,"Curb-Grass
Line",1,N,,Drive,"N: 43.76104
W:79.36694",*,,8,1,9
86,91,25,21-Sep-16,11:19 AM,11:27 AM,B,Var,2,2,2,Wimpole Dr.,Minor,2,N,Res,N/A,N,N,N,N,N,N,N,11,5,Curb-Pylons,2,N,,Drive,"N: 43.76035
W:79.38058",*,"Study area on south side.
Construction on both sides",10,6,16
87,92,25,21-Sep-16,10:54 AM,11:05 AM,B,Fixed,18,18,18,York Mills Rd.,Major,4,N,Res-Park,3 to 6,N,N,N,N,N,Y,N,8.5,16,"Curb-Grass
Line-Tree Line",1,N,,Road,"N: 43.74873
W:79.38266",*,,2,9,11
88,93,25,21-Sep-16,10:33 AM,10:45 AM,B,Var,17,16,17,Danville Dr.,Minor,2,N,Res,<3,N,N,N,N,N,Y,N,12.5,5,"Curb-Grass
Line",2,N,,Drive,"N:43.7496
W:79.396405",,Adjacent construction site ,1,0,1
